hub_id,hub_name,count
283,Pathao Central LTL,24
6,Mohammadpur,21
2,Uttara,17
154,Lost & Damaged,6
1,Banani,5
3,Pallabi,5
209,Mirpur-1,5
149,Farmgate,3
5,Motijheel,3
82,Lalbag,2
125,Diabari,2
126,Shewrapara,2
237,Bashundhara,2
241,Rayerbag,2
408,Central Inventory,2
4,Malibagh,1
159,Demra,1
280,Badda,1
394,Kamrangirchar,1
141,Bashabo,0
399,Central Fulfillment,0
372,Central Inbound,0
19,Central Processing ISD,0
96,Document-Central,0
439,Kalanki Hub ,0
306,Kathmandu BorderLine ,0
398,No Entry,0
53,On-Demand,0
104,On-Demand-Transfer,0
284,Pathao Central FTL,0
304,Sub Hub Bangabandhu Avenue,0
199,Sub Hub Bangla Bazar,0
302,Sub Hub Biswas Builders,0
305,Sub Hub Ctg Agrabad,0
307,Sub Hub Ctg New Market,0
274,Sub Hub Elephant Road,0
161,Sub Hub Gulistan,0
160,Sub Hub Hatirpul,0
282,Sub Hub Kamrangirchar,0
370,Sub Hub Kuakata,0
367,Sub Hub Mirpur-1,0
211,Sub Hub New market point,0
368,Sujan Test HUb,0
81,Tinkune Hub,0
